dataset,classifier,fold,metric,value
semeion,MultinomialNB,8,weighted_f1,0.8196718570089401
semeion,MultinomialNB,8,fit_time,0.0030004978179931
semeion,MultinomialNB,8,predict_time,0.0009999275207519
semeion,MultinomialNB,9,accuracy,0.8301886792452831
semeion,MultinomialNB,9,macro_f1,0.8314630742747768
semeion,MultinomialNB,9,auc_roc,0.981655982905983
semeion,MultinomialNB,9,log_loss,1.9269188322020416
semeion,MultinomialNB,9,brier_score,0.309631858703328
semeion,MultinomialNB,9,ece,0.1526708221258443
semeion,MultinomialNB,9,balanced_accuracy,0.8304166666666667
semeion,MultinomialNB,9,geometric_mean,0.8274945847277565
semeion,MultinomialNB,9,mcc,0.8119559156290158
semeion,MultinomialNB,9,weighted_f1,0.8312416680333183
semeion,MultinomialNB,9,fit_time,0.0030000209808349
semeion,MultinomialNB,9,predict_time,0.0009996891021728
semeion,BernoulliNB,0,accuracy,0.86875
semeion,BernoulliNB,0,macro_f1,0.8700037581014811
semeion,BernoulliNB,0,auc_roc,0.9917965158045976
semeion,BernoulliNB,0,log_loss,1.4091421794755898
semeion,BernoulliNB,0,brier_score,0.2357009002416659
semeion,BernoulliNB,0,ece,0.1225960829986552
semeion,BernoulliNB,0,balanced_accuracy,0.8683333333333334
semeion,BernoulliNB,0,geometric_mean,0.8645228373759818
semeion,BernoulliNB,0,mcc,0.8549833794780443
semeion,BernoulliNB,0,weighted_f1,0.8707850081014812
semeion,BernoulliNB,0,fit_time,0.0099985599517822
semeion,BernoulliNB,0,predict_time,0.002000093460083
semeion,BernoulliNB,1,accuracy,0.85
semeion,BernoulliNB,1,macro_f1,0.8513517123403108
semeion,BernoulliNB,1,auc_roc,0.988628683907652
semeion,BernoulliNB,1,log_loss,2.3294582020308376
semeion,BernoulliNB,1,brier_score,0.2834352711840049
semeion,BernoulliNB,1,ece,0.1362310458293775
semeion,BernoulliNB,1,balanced_accuracy,0.8507598039215687
semeion,BernoulliNB,1,geometric_mean,0.8481295454527448
semeion,BernoulliNB,1,mcc,0.833854964770478
semeion,BernoulliNB,1,weighted_f1,0.8502143374793543
semeion,BernoulliNB,1,fit_time,0.0099997520446777
semeion,BernoulliNB,1,predict_time,0.0019998550415039
semeion,BernoulliNB,2,accuracy,0.8625
semeion,BernoulliNB,2,macro_f1,0.8648985596037877
semeion,BernoulliNB,2,auc_roc,0.9886261234768302
semeion,BernoulliNB,2,log_loss,1.9130727280601107
semeion,BernoulliNB,2,brier_score,0.2615196036320495
semeion,BernoulliNB,2,ece,0.1331436077300119
semeion,BernoulliNB,2,balanced_accuracy,0.8619362745098039
semeion,BernoulliNB,2,geometric_mean,0.8564217815554924
semeion,BernoulliNB,2,mcc,0.8482751020418042
semeion,BernoulliNB,2,weighted_f1,0.8644712091764373
semeion,BernoulliNB,2,fit_time,0.0110030174255371
semeion,BernoulliNB,2,predict_time,0.0019986629486083
semeion,BernoulliNB,3,accuracy,0.8427672955974843
semeion,BernoulliNB,3,macro_f1,0.84076255575544
semeion,BernoulliNB,3,auc_roc,0.982705257705258
semeion,BernoulliNB,3,log_loss,2.778997439998355
semeion,BernoulliNB,3,brier_score,0.2930955407789191
semeion,BernoulliNB,3,ece,0.1502365849311119
semeion,BernoulliNB,3,balanced_accuracy,0.8429166666666668
semeion,BernoulliNB,3,geometric_mean,0.8306634213720985
semeion,BernoulliNB,3,mcc,0.8270153202299949
semeion,BernoulliNB,3,weighted_f1,0.8409403076784302
semeion,BernoulliNB,3,fit_time,0.0099985599517822
semeion,BernoulliNB,3,predict_time,0.0020008087158203
semeion,BernoulliNB,4,accuracy,0.8867924528301887
semeion,BernoulliNB,4,macro_f1,0.8858313349609235
semeion,BernoulliNB,4,auc_roc,0.987367586117586
semeion,BernoulliNB,4,log_loss,1.6891234906211876
semeion,BernoulliNB,4,brier_score,0.2082068365626849
semeion,BernoulliNB,4,ece,0.1074920163872468
semeion,BernoulliNB,4,balanced_accuracy,0.8858333333333335
semeion,BernoulliNB,4,geometric_mean,0.8812028472952401
semeion,BernoulliNB,4,mcc,0.8749288850983221
semeion,BernoulliNB,4,weighted_f1,0.8864610019373173
semeion,BernoulliNB,4,fit_time,0.0109980106353759
semeion,BernoulliNB,4,predict_time,0.0029997825622558
semeion,BernoulliNB,5,accuracy,0.8553459119496856
semeion,BernoulliNB,5,macro_f1,0.8587066742287455
semeion,BernoulliNB,5,auc_roc,0.9898523698523698
semeion,BernoulliNB,5,log_loss,2.2669900494459942
semeion,BernoulliNB,5,brier_score,0.2715281848233085
semeion,BernoulliNB,5,ece,0.1394985381862183
semeion,BernoulliNB,5,balanced_accuracy,0.85625
semeion,BernoulliNB,5,geometric_mean,0.8496400290800312
semeion,BernoulliNB,5,mcc,0.8412054584557213
semeion,BernoulliNB,5,weighted_f1,0.8582111187207502
semeion,BernoulliNB,5,fit_time,0.0109996795654296
semeion,BernoulliNB,5,predict_time,0.0030000209808349
semeion,BernoulliNB,6,accuracy,0.8301886792452831
semeion,BernoulliNB,6,macro_f1,0.8312358015475041
semeion,BernoulliNB,6,auc_roc,0.9813209013209014
semeion,BernoulliNB,6,log_loss,2.582424540203038
semeion,BernoulliNB,6,brier_score,0.3233020187491363
semeion,BernoulliNB,6,ece,0.1635376270571234
semeion,BernoulliNB,6,balanced_accuracy,0.8300000000000001
semeion,BernoulliNB,6,geometric_mean,0.8274945847277565
semeion,BernoulliNB,6,mcc,0.8121153943837175
semeion,BernoulliNB,6,weighted_f1,0.8317467185383689
semeion,BernoulliNB,6,fit_time,0.0109996795654296
semeion,BernoulliNB,6,predict_time,0.0020010471343994
semeion,BernoulliNB,7,accuracy,0.8679245283018868
semeion,BernoulliNB,7,macro_f1,0.8713125422582827
semeion,BernoulliNB,7,auc_roc,0.989115675990676
semeion,BernoulliNB,7,log_loss,1.919399300782077
semeion,BernoulliNB,7,brier_score,0.2491199793312812
semeion,BernoulliNB,7,ece,0.130493227792374
semeion,BernoulliNB,7,balanced_accuracy,0.8679166666666667
semeion,BernoulliNB,7,geometric_mean,0.8611387577928007
semeion,BernoulliNB,7,mcc,0.8538691232886672
semeion,BernoulliNB,7,weighted_f1,0.870952423476439
semeion,BernoulliNB,7,fit_time,0.0119976997375488
semeion,BernoulliNB,7,predict_time,0.0020010471343994
semeion,BernoulliNB,8,accuracy,0.7987421383647799
semeion,BernoulliNB,8,macro_f1,0.8007013472008936
semeion,BernoulliNB,8,auc_roc,0.9849062742812744
semeion,BernoulliNB,8,log_loss,2.673790439643042
semeion,BernoulliNB,8,brier_score,0.3697026992921561
semeion,BernoulliNB,8,ece,0.1873345410547195
semeion,BernoulliNB,8,balanced_accuracy,0.7979166666666666
semeion,BernoulliNB,8,geometric_mean,0.7862069482276882
semeion,BernoulliNB,8,mcc,0.7794856830529141
semeion,BernoulliNB,8,weighted_f1,0.8013997508159066
semeion,BernoulliNB,8,fit_time,0.0120000839233398
semeion,BernoulliNB,8,predict_time,0.003000259399414
semeion,BernoulliNB,9,accuracy,0.8616352201257862
semeion,BernoulliNB,9,macro_f1,0.8623735170495459
semeion,BernoulliNB,9,auc_roc,0.9809425990675992
semeion,BernoulliNB,9,log_loss,2.524457474660788
semeion,BernoulliNB,9,brier_score,0.2587341393286497
semeion,BernoulliNB,9,ece,0.1272239864226109
semeion,BernoulliNB,9,balanced_accuracy,0.8620833333333333
semeion,BernoulliNB,9,geometric_mean,0.8570331368355213
semeion,BernoulliNB,9,mcc,0.8473053285125061
semeion,BernoulliNB,9,weighted_f1,0.8621165844117971
semeion,BernoulliNB,9,fit_time,0.0109989643096923
semeion,BernoulliNB,9,predict_time,0.0019998550415039
semeion,ComplementNB,0,accuracy,0.71875
semeion,ComplementNB,0,macro_f1,0.7193509852216748
semeion,ComplementNB,0,auc_roc,0.9778002274904214
semeion,ComplementNB,0,log_loss,0.8046206662265754
semeion,ComplementNB,0,brier_score,0.3863765195035956
semeion,ComplementNB,0,ece,0.1002686758204246
semeion,ComplementNB,0,balanced_accuracy,0.7179166666666668
semeion,ComplementNB,0,geometric_mean,0.695946195199315
semeion,ComplementNB,0,mcc,0.6950594159074611
semeion,ComplementNB,0,weighted_f1,0.7185228602216748
semeion,ComplementNB,0,fit_time,0.0030000209808349
semeion,ComplementNB,0,predict_time,0.0010004043579101
semeion,ComplementNB,1,accuracy,0.8
semeion,ComplementNB,1,macro_f1,0.7970675187136288
semeion,ComplementNB,1,auc_roc,0.9722183737633788
semeion,ComplementNB,1,log_loss,0.7944300980764076
semeion,ComplementNB,1,brier_score,0.3639940934584426
semeion,ComplementNB,1,ece,0.1833115194851559
semeion,ComplementNB,1,balanced_accuracy,0.7995098039215686
semeion,ComplementNB,1,geometric_mean,0.7875333590864328
semeion,ComplementNB,1,mcc,0.7802210713925195
semeion,ComplementNB,1,weighted_f1,0.7973973798247399
semeion,ComplementNB,1,fit_time,0.0040013790130615
semeion,ComplementNB,1,predict_time,0.0
semeion,ComplementNB,2,accuracy,0.7625
semeion,ComplementNB,2,macro_f1,0.7608778819813302
semeion,ComplementNB,2,auc_roc,0.9799348969538182
semeion,ComplementNB,2,log_loss,0.7317001778272765
semeion,ComplementNB,2,brier_score,0.3401215977133429
semeion,ComplementNB,2,ece,0.1190759266869761
semeion,ComplementNB,2,balanced_accuracy,0.7622058823529412
semeion,ComplementNB,2,geometric_mean,0.7470302923999756
semeion,ComplementNB,2,mcc,0.7399179628810983
semeion,ComplementNB,2,weighted_f1,0.7603064534099018
semeion,ComplementNB,2,fit_time,0.004004955291748
semeion,ComplementNB,2,predict_time,0.0
semeion,ComplementNB,3,accuracy,0.7295597484276729
semeion,ComplementNB,3,macro_f1,0.7134943848422111
semeion,ComplementNB,3,auc_roc,0.9649290986790988
semeion,ComplementNB,3,log_loss,0.8871063641003416
