dataset,classifier,fold,metric,value
iris,MultinomialNB,9,ece,0.22127858657177782
iris,MultinomialNB,9,balanced_accuracy,0.6666666666666666
iris,MultinomialNB,9,geometric_mean,0.5428835233189814
iris,MultinomialNB,9,mcc,0.5330017908890261
iris,MultinomialNB,9,weighted_f1,0.6336996336996337
iris,MultinomialNB,9,fit_time,0.0009996891021728516
iris,MultinomialNB,9,predict_time,0.0
iris,BernoulliNB,0,accuracy,0.7333333333333333
iris,BernoulliNB,0,macro_f1,0.6825396825396824
iris,BernoulliNB,0,auc_roc,0.88
iris,BernoulliNB,0,log_loss,0.5154664306255553
iris,BernoulliNB,0,brier_score,0.36166231852296205
iris,BernoulliNB,0,ece,0.15510893574235043
iris,BernoulliNB,0,balanced_accuracy,0.7333333333333334
iris,BernoulliNB,0,geometric_mean,0.5848035476425733
iris,BernoulliNB,0,mcc,0.676481425202546
iris,BernoulliNB,0,weighted_f1,0.6825396825396824
iris,BernoulliNB,0,fit_time,0.001001119613647461
iris,BernoulliNB,0,predict_time,0.0009996891021728516
iris,BernoulliNB,1,accuracy,0.8666666666666667
iris,BernoulliNB,1,macro_f1,0.8611111111111112
iris,BernoulliNB,1,auc_roc,0.9266666666666667
iris,BernoulliNB,1,log_loss,0.37738906103131753
iris,BernoulliNB,1,brier_score,0.23707192798253765
iris,BernoulliNB,1,ece,0.12643176802059278
iris,BernoulliNB,1,balanced_accuracy,0.8666666666666667
iris,BernoulliNB,1,geometric_mean,0.8434326653017492
iris,BernoulliNB,1,mcc,0.8222264517930379
iris,BernoulliNB,1,weighted_f1,0.8611111111111112
iris,BernoulliNB,1,fit_time,0.0009999275207519531
iris,BernoulliNB,1,predict_time,0.0009999275207519531
iris,BernoulliNB,2,accuracy,0.6666666666666666
iris,BernoulliNB,2,macro_f1,0.6632996632996633
iris,BernoulliNB,2,auc_roc,0.8866666666666667
iris,BernoulliNB,2,log_loss,0.510611191407046
iris,BernoulliNB,2,brier_score,0.379904138611919
iris,BernoulliNB,2,ece,0.2360324214696541
iris,BernoulliNB,2,balanced_accuracy,0.6666666666666666
iris,BernoulliNB,2,geometric_mean,0.6214465011907718
iris,BernoulliNB,2,mcc,0.5033670414105182
iris,BernoulliNB,2,weighted_f1,0.6632996632996633
iris,BernoulliNB,2,fit_time,0.0019998550415039062
iris,BernoulliNB,2,predict_time,0.0
iris,BernoulliNB,3,accuracy,0.8
iris,BernoulliNB,3,macro_f1,0.791919191919192
iris,BernoulliNB,3,auc_roc,0.9266666666666667
iris,BernoulliNB,3,log_loss,0.4557506629670032
iris,BernoulliNB,3,brier_score,0.3008583246420719
iris,BernoulliNB,3,ece,0.10458744949175862
iris,BernoulliNB,3,balanced_accuracy,0.8000000000000002
iris,BernoulliNB,3,geometric_mean,0.7829735282337728
iris,BernoulliNB,3,mcc,0.7047138579747255
iris,BernoulliNB,3,weighted_f1,0.7919191919191919
iris,BernoulliNB,3,fit_time,0.0009992122650146484
iris,BernoulliNB,3,predict_time,0.00099945068359375
iris,BernoulliNB,4,accuracy,0.8
iris,BernoulliNB,4,macro_f1,0.7802197802197802
iris,BernoulliNB,4,auc_roc,0.8333333333333334
iris,BernoulliNB,4,log_loss,0.5211856632398449
iris,BernoulliNB,4,brier_score,0.35096519718341007
iris,BernoulliNB,4,ece,0.2283604298716329
iris,BernoulliNB,4,balanced_accuracy,0.7999999999999999
iris,BernoulliNB,4,geometric_mean,0.7368062997280773
iris,BernoulliNB,4,mcc,0.7462025072446365
iris,BernoulliNB,4,weighted_f1,0.7802197802197802
iris,BernoulliNB,4,fit_time,0.0029997825622558594
iris,BernoulliNB,4,predict_time,0.0009989738464355469
iris,BernoulliNB,5,accuracy,0.7333333333333333
iris,BernoulliNB,5,macro_f1,0.6705516705516706
iris,BernoulliNB,5,auc_roc,0.8533333333333334
iris,BernoulliNB,5,log_loss,0.5878889613866415
iris,BernoulliNB,5,brier_score,0.39916115265041363
iris,BernoulliNB,5,ece,0.1326277276619994
iris,BernoulliNB,5,balanced_accuracy,0.7333333333333334
iris,BernoulliNB,5,geometric_mean,0.5848035476425733
iris,BernoulliNB,5,mcc,0.6599120175960898
iris,BernoulliNB,5,weighted_f1,0.6705516705516705
iris,BernoulliNB,5,fit_time,0.002998828887939453
iris,BernoulliNB,5,predict_time,0.0010023117065429688
iris,BernoulliNB,6,accuracy,0.8
iris,BernoulliNB,6,macro_f1,0.7802197802197802
iris,BernoulliNB,6,auc_roc,0.9199999999999999
iris,BernoulliNB,6,log_loss,0.35599707374431705
iris,BernoulliNB,6,brier_score,0.24119971285006797
iris,BernoulliNB,6,ece,0.0667074412699804
iris,BernoulliNB,6,balanced_accuracy,0.7999999999999999
iris,BernoulliNB,6,geometric_mean,0.7368062997280773
iris,BernoulliNB,6,mcc,0.7462025072446365
iris,BernoulliNB,6,weighted_f1,0.7802197802197802
iris,BernoulliNB,6,fit_time,0.0009999275207519531
iris,BernoulliNB,6,predict_time,0.002003192901611328
iris,BernoulliNB,7,accuracy,0.8
iris,BernoulliNB,7,macro_f1,0.791919191919192
iris,BernoulliNB,7,auc_roc,0.88
iris,BernoulliNB,7,log_loss,0.5107823618657111
iris,BernoulliNB,7,brier_score,0.3377774318603046
iris,BernoulliNB,7,ece,0.12915923469281837
iris,BernoulliNB,7,balanced_accuracy,0.8000000000000002
iris,BernoulliNB,7,geometric_mean,0.7829735282337728
iris,BernoulliNB,7,mcc,0.7047138579747255
iris,BernoulliNB,7,weighted_f1,0.7919191919191919
iris,BernoulliNB,7,fit_time,0.001001119613647461
iris,BernoulliNB,7,predict_time,0.0009989738464355469
iris,BernoulliNB,8,accuracy,0.6
iris,BernoulliNB,8,macro_f1,0.5
iris,BernoulliNB,8,auc_roc,0.8733333333333334
iris,BernoulliNB,8,log_loss,0.7857492192512141
iris,BernoulliNB,8,brier_score,0.526319194648785
iris,BernoulliNB,8,ece,0.24543767314021184
iris,BernoulliNB,8,balanced_accuracy,0.6
iris,BernoulliNB,8,geometric_mean,0.0
iris,BernoulliNB,8,mcc,0.4364357804719847
iris,BernoulliNB,8,weighted_f1,0.5
iris,BernoulliNB,8,fit_time,0.0009999275207519531
iris,BernoulliNB,8,predict_time,0.0009999275207519531
iris,BernoulliNB,9,accuracy,0.7333333333333333
iris,BernoulliNB,9,macro_f1,0.7121212121212123
iris,BernoulliNB,9,auc_roc,0.8666666666666667
iris,BernoulliNB,9,log_loss,0.5728290024093156
