dataset,classifier,metric,mean,std
JapaneseVowels,PW-NB(auto),weighted_f1,0.8544726688230178,0.012345904733244794
JapaneseVowels,PW-NB(k=15),accuracy,0.8535277519304902,0.011426085361418344
JapaneseVowels,PW-NB(k=15),auc_roc,0.981664360928135,0.001628855570520275
JapaneseVowels,PW-NB(k=15),balanced_accuracy,0.8432143824535763,0.012375391350586946
JapaneseVowels,PW-NB(k=15),brier_score,0.21749048174113925,0.012833666844977535
JapaneseVowels,PW-NB(k=15),ece,0.03911896114898084,0.009522171588295365
JapaneseVowels,PW-NB(k=15),geometric_mean,0.8358893855595039,0.013799616705504369
JapaneseVowels,PW-NB(k=15),log_loss,0.49385476889757396,0.027264680424813763
JapaneseVowels,PW-NB(k=15),macro_f1,0.8447694659824745,0.012300704338615518
JapaneseVowels,PW-NB(k=15),mcc,0.8345310236478612,0.012970350921359583
JapaneseVowels,PW-NB(k=15),mean_pr,0.9141340032829672,0.0005375630219087759
JapaneseVowels,PW-NB(k=15),weighted_f1,0.8526019398037921,0.011606583001562025
JapaneseVowels,PW-NB(k=30),accuracy,0.8529254429956536,0.01166622612401823
JapaneseVowels,PW-NB(k=30),auc_roc,0.9811082932327505,0.0016542173839915204
JapaneseVowels,PW-NB(k=30),balanced_accuracy,0.842322665629385,0.012603579615090607
JapaneseVowels,PW-NB(k=30),brier_score,0.22043749116234918,0.013150431526080471
JapaneseVowels,PW-NB(k=30),ece,0.043861328788281514,0.008118507876317191
JapaneseVowels,PW-NB(k=30),geometric_mean,0.8346889774075578,0.014087989740164246
JapaneseVowels,PW-NB(k=30),log_loss,0.5109034570641747,0.028428077652085902
JapaneseVowels,PW-NB(k=30),macro_f1,0.8439068899870854,0.012538434219304432
JapaneseVowels,PW-NB(k=30),mcc,0.8338514099361138,0.013235969620843176
JapaneseVowels,PW-NB(k=30),mean_pr,0.8816610552847403,0.0007452474359978756
JapaneseVowels,PW-NB(k=30),weighted_f1,0.8518061267351055,0.011869326021966876
JapaneseVowels,PW-NB(k=45),accuracy,0.8519214269313966,0.011286948018021579
JapaneseVowels,PW-NB(k=45),auc_roc,0.9808500819053625,0.0016700063711809134
JapaneseVowels,PW-NB(k=45),balanced_accuracy,0.841074891475326,0.01206140698008857
JapaneseVowels,PW-NB(k=45),brier_score,0.22197004983474938,0.013267877013301742
JapaneseVowels,PW-NB(k=45),ece,0.04640457193821071,0.007556923516397326
JapaneseVowels,PW-NB(k=45),geometric_mean,0.833149966632751,0.013648184912221504
JapaneseVowels,PW-NB(k=45),log_loss,0.5200884605071776,0.029122007134958
JapaneseVowels,PW-NB(k=45),macro_f1,0.8426792912086813,0.01208250078690246
JapaneseVowels,PW-NB(k=45),mcc,0.8327455979969065,0.012802640090483049
JapaneseVowels,PW-NB(k=45),mean_pr,0.8593742570759515,0.0008695195560753085
JapaneseVowels,PW-NB(k=45),weighted_f1,0.8506889723286196,0.011573093646197654
JapaneseVowels,PW-NB(k=5),accuracy,0.855033473915723,0.012119829886653322
JapaneseVowels,PW-NB(k=5),auc_roc,0.9825369422515939,0.0015705761116862765
JapaneseVowels,PW-NB(k=5),balanced_accuracy,0.8454849801260609,0.013488118760615179
JapaneseVowels,PW-NB(k=5),brier_score,0.21438254831387177,0.012434082296444632
JapaneseVowels,PW-NB(k=5),ece,0.03473574010159408,0.0077127926399792514
JapaneseVowels,PW-NB(k=5),geometric_mean,0.8386647052916245,0.015198885676266009
JapaneseVowels,PW-NB(k=5),log_loss,0.4704512145231415,0.025612474680668903
JapaneseVowels,PW-NB(k=5),macro_f1,0.8466987138994639,0.01330748417199776
JapaneseVowels,PW-NB(k=5),mcc,0.8362741340454605,0.013729740860660911
JapaneseVowels,PW-NB(k=5),mean_pr,0.9581612667438671,0.0006777969299216779
JapaneseVowels,PW-NB(k=5),weighted_f1,0.8544726688230178,0.012345904733244794
LED-display-domain-7digit,BernoulliNB,accuracy,0.726,0.05420127099780755
LED-display-domain-7digit,BernoulliNB,auc_roc,0.9570885183939299,0.019439168001274196
LED-display-domain-7digit,BernoulliNB,balanced_accuracy,0.7301666666666666,0.05734587502790457
LED-display-domain-7digit,BernoulliNB,brier_score,0.37474716137591874,0.08280278898033064
LED-display-domain-7digit,BernoulliNB,ece,0.14033893208543524,0.035350901166868294
LED-display-domain-7digit,BernoulliNB,geometric_mean,0.7002148614548083,0.06450295741071695
LED-display-domain-7digit,BernoulliNB,log_loss,0.7991703311788543,0.20489224834375472
LED-display-domain-7digit,BernoulliNB,macro_f1,0.7223018925518925,0.0598156179538574
LED-display-domain-7digit,BernoulliNB,mcc,0.6992067352181216,0.060347844196193795
LED-display-domain-7digit,BernoulliNB,weighted_f1,0.7222771062271062,0.05702700848433718
LED-display-domain-7digit,ComplementNB,accuracy,0.602,0.049396356140913894
LED-display-domain-7digit,ComplementNB,auc_roc,0.9234027340939459,0.021103451944218046
LED-display-domain-7digit,ComplementNB,balanced_accuracy,0.5821666666666666,0.04942290417195377
LED-display-domain-7digit,ComplementNB,brier_score,0.8749462634382908,0.0011040624016051645
LED-display-domain-7digit,ComplementNB,ece,0.486962153505322,0.04937526678473645
LED-display-domain-7digit,ComplementNB,geometric_mean,0.0,0.0
LED-display-domain-7digit,ComplementNB,log_loss,2.1839788704178056,0.005236922644421186
LED-display-domain-7digit,ComplementNB,macro_f1,0.5040979524431537,0.04554517936047151
LED-display-domain-7digit,ComplementNB,mcc,0.5726212918934744,0.0566146283569446
LED-display-domain-7digit,ComplementNB,weighted_f1,0.5204821867846635,0.048062146495379696
LED-display-domain-7digit,GaussianNB,accuracy,0.6519999999999999,0.10962562555250377
LED-display-domain-7digit,GaussianNB,auc_roc,0.9235545681140731,0.045004262448184076
LED-display-domain-7digit,GaussianNB,balanced_accuracy,0.657,0.11395201502560223
LED-display-domain-7digit,GaussianNB,brier_score,0.5630749458593778,0.21391615148207027
LED-display-domain-7digit,GaussianNB,ece,0.2668009899921154,0.10380692819830167
